name,area,address,cost,timings,rating,cuisines,contact,highlights
Hitec Nanking,Madhapur,"4th Floor, SBR CV Towers, Madhapur, Hyderabad",₹800,12:30 PM to 11:30 PM,3.6,Chinese,"040 40062888, 040 40064888",Valet Parking Available
Tea Trails,Banjara Hills,"8-2-626/3, M.S. Towers, Road 1, Banjara Hills, Hyderabad",₹500,10 AM to 12 Midnight,3.8,"Cafe, Fast Food","+91 7799713241, +91 8184904349","Outdoor Seating, Wifi"
Jai Santosh Family Dhaba,Kondapur,"1st Foor, 1-63/16, Beside Srujana Super Market, Kothaguda Circle, Kondapur, Hyderabad Kondapur",₹500,11:30 AM to 10:30 PM,3.5,"North Indian, Chinese",040 65123466,
Kargeens House Of Sheesha,Banjara Hills,"5th Floor, 284/A, MLA Colony, Road 12, Banjara Hills, Hyderabad",₹750,"12 Noon to 4 PM, 6 PM to 10:30 PM",2.2,"Cafe, American, Chinese, Italian, North Indian, Continental","040 40113234, +91 9160579399","Outdoor Seating, Smoking Area, Wifi"
Big Noodle,Karkhana,"Opposite Bata Showroom, Vikrampuri, Karkhana, Secunderabad",₹450,"11:30 AM to 3 PM, 7 PM to 11:45 PM",4.4,Chinese,040 33165377,Free Parking
Kerala Kitchen,Kondapur,"4th Floor, QZ Plaza, Near Harsha Toyota, Kondapur, Hyderabad",₹700,24 Hours,4.2,"Kerala, North Indian, Chinese",040 40208888,
Republic Of Noodles - Lemon Tree Hotel,Gachibowli,"Lemon Tree Hotel, Survey 115/1, Financial District, Nanakramguda, Serilingampally, Gachibowli, Hyderabad","₹1,700",11 AM to 10:45 PM,3.7,"Thai, Malaysian, Asian",040 33165332,Wifi
Okra - Hyderabad Marriott Hotel & Convention Centre,Necklace Road,"Hyderabad Marriott Hotel & Convention Centre, Opposite Hussain Sagar Lake,
Tank Bund Road, Near, Necklace Road, Hyderabad","₹2,900",9 AM to 1 AM,3.4,"Continental, North Indian, Chinese, Hyderabadi, Andhra",040 27522999,"Buffet, Outdoor Seating, Luxury Dining, 4/5 Star, Valet Parking Available, Poolside, Smoking Area, Wifi"
Chung Hua Restaurant,PG Road,"1st Floor, 1-8-303/48/43, Rocha Plaza, Minister Road, PG Road, Secunderabad",₹700,"12 Noon to 3 PM, 7 PM to 11 PM (Mon-Thu), 12 Noon to 3:30 PM, 7 PM to 11:30 PM (Fri-Sun)",4.2,Chinese,040 33165283,
Testa Rossa,Jubilee Hills,"265/F, Road 10, Jubilee Hills, Hyderabad",₹800,12 Noon to 12 Midnight,3.9,"Cafe, Italian, Continental","040 65290022, +91 9573777775","Outdoor Seating, Wifi, Valet Parking Available"
Prego - The Westin,Hitech City,"The Westin, Mindspace IT Park, Hitech City, Hyderabad","₹5,000",11 AM to 11 PM,3.5,Italian,040 33165304,"Outdoor Seating, Wifi, Valet Parking Available, 4/5 Star"
Eskimos,Gandipet,"Near CBIT, Brindavan Colony, Gandipet Road, Gandipet, Hyderabad",₹350,5 AM to 11 PM,3.9,"Ice Cream, Desserts","040 65225050, +91 9296750757","Desserts and Bakes, Outdoor Seating"
Mavericks Bar & Grill,Kukatpally,"4th Floor, Manjeera Trinity Mall, Kukatpally, Hyderabad","₹1,000",12 Noon to 12 Midnight,3.9,"Chinese, North Indian","+91 9705232323, +91 9505232323","Wifi, Smoking Area"
Hotel Rumaan,Tolichowki,"Near Tolichowki Cross Road, Miraj Colony, Tolichowki, Hyderabad",₹400,10 AM to 1 AM,3.5,"Biryani, Street Food, Chinese",+91 9700704901,
Klub Trinity Kitchen & Lounge,Jubilee Hills,"5th Floor, Malik Solitaire, Road 36, Jubilee Hills, Hyderabad","₹1,500",10:30 AM to 10:30 PM,3.7,"Chinese, North Indian",040 33165659,"Valet Parking Available, Above 18 Only, Wifi, Nightlife, Outdoor Seating, Smoking Area, Dance Floor, Live Sports Screening, Rooftop"
Ignite Restro Lounge,Himayath Nagar,"3-6-278&279, Opposite Telugu Academy, Apurupa LN Chambers, Himayath Nagar, Hyderabad",₹650,12 Noon to 11 PM,2.8,"Cafe, Continental, North Indian, Chinese","040 23224566, +91 9985619196","Outdoor Seating, Wifi, Rooftop"
Beenz Cafe,Jubilee Hills,"Opposite Ram Mandir, Road 15, Jubilee Hills, Hyderabad",₹950,"1 PM to 3 PM, 6:30 PM to 1 AM (Tue-Sun), Mon Closed",3.2,"Cafe, North Indian, Chinese",040 23552927,"Smoking Area, Outdoor Seating, Wifi, Valet Parking Available"
Pakwaan Grand,Gachibowli,"Near Rai Durgam police Station, Gachibowli Main Road, Gachibowli, Hyderabad",₹600,9 AM to 12:30 AM,3.8,"North Indian, Chinese, Biryani",040 65144144,
Desi Bytes,Gachibowli,"Survey 6, Behind Income Tax office, Whitefield Corner, Miyapur Road, Gachibowli, Hyderabad",₹400,11:30 AM to 10:30 PM,3.7,"North Indian, Chinese","+91 7702258971, +91 8121136340","Outdoor Seating, Smoking Area, Zomato Fulfilled Delivery"
Cuppa,Jubilee Hills,"Behind Timberland Showroom, Road 22, Jubilee Hills, Hyderabad",₹800,"11:30 AM to 3:30 PM, 6:30 PM to 10:30 PM",3.5,"Cafe, Continental, Chinese","040 64291933, +91 9010229097","Valet Parking Available, Wifi, Outdoor Seating, Smoking Area"
Mohini,Basheer Bagh,"3-6-342, Opposite Babukhan Estate, Basheer Bagh, Hyderabad",₹500,"12 Midnight to 3 AM, 10 AM to 12 Midnight",3.6,"North Indian, Biryani, Chinese","040 23224431, 040 40041101",
Nanking CR,Banjara Hills,"2nd Floor, Lumbini Shopping Mall, Road 2, Banjara Hills, Hyderabad",₹800,"12 Noon to 4 PM, 7 PM to 11 PM",3.4,Chinese,040 33165174,
The Indique Bistro,Banjara Hills,"Delta Seacon, Road 11 5th Floor, Banjara Hills, Hyderabad",₹800,"12 Noon to 3 PM, 7 PM to 11 PM",3.8,"Cafe, Chinese, North Indian, Continental",040 33165644,"Outdoor Seating, Wifi, Live Music, Valet Parking Available, Smoking Area, Live Sports Screening"
Rayalaseema Ruchulu,Lakdikapul,"Hotel Royal Residency, Ground Floor & 1st Floor, Next to Saifabad Police Station, Lakdikapul, Hyderabad",₹950,9 AM to 12 Midnight,3.4,"Andhra, South Indian, Biryani",+91 8688686886,"Valet Parking Available, Live Sports Screening"
Point Pleasant Restaurant,Banjara Hills,"Indo Arab League, Road 10, Banjara Hills, Hyderabad",₹850,"11 AM to 3:30 PM, 6:30 PM to 10:30 PM",3.7,"North Indian, Mughlai, Chinese","040 64643242, 040 23314984",Outdoor Seating
Dunkin Donuts,Hitech City,"Ground Floor, Inorbit Mall, Hitech City, Hyderabad",₹550,11 AM to 11 PM,3.5,"Desserts, Burger",040 40205520,Desserts and Bakes
The Spice Box,Kondapur,"Ground Floor, Opposite Aparna Towers, Sai Thota Towers, Ravi Enclave, Kondapur Village, Kondapur, Hyderabad",₹450,"12 Noon to 4 PM, 7 PM to 11 PM",2.4,Andhra,"040 65506000, 040 65507000",
Needs Dhaba,Begumpet,"6-3-1216/141, Near St Francis College, Methodist Colony, Kundanbagh, Begumpet, Hyderabad",₹150,"12 Noon to 3:30 PM, 7 PM to 11 PM",3.6,North Indian,"+91 9885551079, 040 23407754",
7 Biryanis by Kuchipudi,Gachibowli,"77, 2nd Floor, Near HDFC Bank, Vinayak Nagar, Gachibowli, Hyderabad",₹500,11 AM to 11 PM (Mon-Sun),3.4,"Andhra, South Indian","040 65888804, 040 65888805",Wifi
Ohri's Silver Metro,Basheer Bagh,"5-9-30/16-20, Ohri's Cuisine Court, Opposite Old Gandhi Medical College, Basheer Bagh, Hyderabad",₹750,"12:30 PM to 3:30 PM, 7 PM to 11 PM",3.4,"Continental, Mughlai, North Indian","040 23298811, 040 23298822",
Burger King,Hitech City,"Near Lemon Tree Premier, Phase 2, Hitech City, Hyderabad",₹500,"10 AM to 3 AM (Mon-Thu), 10 AM to 4 AM (Fri-Sun)",3.5,"Fast Food, American",040 33194171,
T- Grill,Gachibowli,"Financial District, Nanakramguda, Next to Varun Motors, Gachibowli, Hyderabad",₹700,"11 AM to 4 PM, 7 PM to 11 PM",3.3,"South Indian, Andhra, Biryani","+91 7799782222, +91 7799783333","Outdoor Seating, Wifi, Smoking Area"
Crave,Banjara Hills,"3A, 4th Floor, Road 12, Park Square, Near TRS Bhavan, Banjara Hills, Hyderabad",₹700,6 AM to 11 PM,2.4,"Cafe, Chinese","+91 9701029338, +91 9963250003","Live Sports Screening, Valet Parking Available, Wifi, Outdoor Seating, Smoking Area"
Utupura,Banjara Hills,"Beside Talwalkars, Eden Gardens, Road 10, Banjara Hills, Hyderabad",₹400,11 AM to 10 PM,2.4,"Kerala, Seafood","040 23352719, 040 64646362",
Green Bawarchi Restaurant,Gachibowli,"Indira Nagar, Gachibowli Main Road, Gachibowli, Hyderabad",₹450,12 Noon to 11 PM,3.3,"North Indian, Chinese, Biryani",040 32904141,
US Pizza,Kukatpally,"MIG 42, Dharma Reddy Colony, JNTU, Phase  1, KPHB Colony, Kukatpally, Hyderabad",₹800,11 AM to 11 PM,3.5,"Pizza, Fast Food","040 32939596, 040 40161127",Wifi
Angara Counts 3,Gachibowli,"Second Floor, 136/137, Anvi's Eco Grand, Near Wipro Lake, Nanakramaguda Road, Financial District, Gachibowli, Hyderabad",₹400,24 Hours,4.3,"North Indian, Mughlai, Chinese, Biryani","+91 8886813344, +91 9000061524",Zomato Fulfilled Delivery
Spice Tribe,Madhapur,"15 & 16, Block B, Near Water Tank, Kavuri Hills, Madhapur, Hyderabad",₹750,10 AM to 4 AM,3.5,"North Indian, Chinese, Biryani","040 40157373, 040 40147374","Outdoor Seating, Wifi"
Feast - Sheraton Hyderabad Hotel,Gachibowli,"Sheraton Hyderabad Hotel, 115/1, ISB Road, Financial District, Nanakramguda, Gachibowli, Hyderabad","₹2,500","12 Noon to 3:30 PM, 7 PM to 11 PM",3.5,"North Indian, South Indian, Chinese",040 33165074,"Luxury Dining, Wifi, Buffet"
The Great Indian Kitchen,Banjara Hills,"Kimtee Square, 4th Floor, Road 12, Banjara Hills, Hyderabad","₹1,200",11 AM to 11 PM,4.0,"North Indian, Lucknowi","+91 9030070209, +91 8121315125","Outdoor Seating, Smoking Area, Zomato Fulfilled Delivery, Valet Parking Available, Wifi"
Rasoi,Kondapur,"Near Chirec Public School, Kondapur, Hyderabad",₹700,12 Noon to 11 PM,3.4,"Chinese, North Indian, Biryani","040 65444888, +91 9989008822",
Ice and Spice,Tolichowki,"Yousuf Tekri Complex, Opposite RTA Office, Tolichowki, Hyderabad",₹350,11 AM to 11 PM,2.3,"Ice Cream, Desserts, Fast Food, Arabian","040 55137701, +91 9849510284","Desserts and Bakes, Outdoor Seating"
Kumbakh,Gachibowli,"1st Floor, Above Toys N More, SS Towers, Gachibowli, Hyderabad",₹550,7 AM to 1 AM,3.7,"North Indian, Chinese, Biryani, South Indian",040 33165820,Wifi
Ginger Court Dining Bar,Madhapur,"Ginger Court, Hitech City Road, Kavuri Hills, Madhapur, Hyderabad",₹800,8:30 AM to 10:30 PM,4.0,"North Indian, Chinese","+91 9866220671, 040 64587408","Buffet, Valet Parking Available, Wifi"
Collage - Hyatt Hyderabad Gachibowli,Gachibowli,"Hyatt Hyderabad Gachibowli, IT Park, Road 2, Gachibowli, Hyderabad","₹1,800",11:45 AM to 10:30 PM,3.0,"Continental, Italian, North Indian, Chinese, Asian, Thai",040 33165698,"Live Music, Valet Parking Available, Smoking Area, Buffet, 4/5 Star"
Dadu's Mithai Vatika,Paradise Circle,"6 & 7, Jade Arcade, Opposite Paradise Hotel, Paradise Circle, Secunderabad",₹250,"9 AM to 10:30 PM (Mon-Thu), 9 AM to 3 AM (Fri-Sun)",4.0,"Mithai, Street Food, Bakery","040 23438451, 040 23438452",Desserts and Bakes
Surabhi Grand,Amberpet,"2-2-3, 4th Floor, Sresthta Origin, Shivam Junction, Amberpet, Hyderabad",₹800,"12 Noon to 4 PM, 7 PM to 11 PM",4.2,"Chinese, Mughlai, North Indian, Seafood","040 65402888, 040 27677776",Valet Parking Available
Aqua - The Park,Somajiguda,"The Park Hotel, 22, Raj Bhavan Road, Somajiguda, Hyderabad","₹2,500",5 PM to 11 PM,3.7,"Finger Food, Fast Food",040 33165766,"Outdoor Seating, Smoking Area, Nightlife, Valet Parking Available"
Kakatiya Deluxe Mess,Ameerpet,"Shop 1 & 2 Delta Chambers, Behind J C Brothers, Ameerpet, Hyderabad",₹400,10 AM to 11 PM,4.0,Andhra,"+91 9885066252, 040 23410298",
Dosa Place,Madhapur,"Ayyappa Society, Near Manthan School, Madhapur, Hyderabad",₹300,11 AM to 12 Midnight,3.7,South Indian,+91 7032907576,
Alhamdulillah Hotel,Nampally,"11-2-284, Near Tekki Masjid, Nampally, Hyderabad",₹300,"12 Noon to 4 PM, 7 PM to 12 Midnight",2.5,"Biryani, Hyderabadi",Not Available,
The Other Side,Jubilee Hills,"Road 36, Jubilee Hills, Hyderabad","₹1,500",12 Noon to 11 PM,3.9,"Hyderabadi, Mediterranean, Arabian, Chinese",040 33194232,"Outdoor Seating, Smoking Area, Live Entertainment, Nightlife, Live Music, Valet Parking Available, Wifi, Live Sports Screening, City View, Rooftop"
Ohri's Tadka,Banjara Hills,"8-2-682/3, 1st Floor, Ohri's Banjara, Road 12, Banjara Hills, Hyderabad","₹1,200",11 AM to 11 PM,2.7,"Mughlai, North Indian","+91 7675093377, +91 9866778039",Valet Parking Available
Dil Punjabi,Hitech City,"1st Floor, L3, Behind Chili's, Inorbit Mall, Hitech City, Hyderabad","₹1,000","7 AM to 4 PM, 7 PM to 3 AM",3.5,"North Indian, Mughlai",,Zomato Fulfilled Delivery
Palace Heights,Abids,"8th Floor, Triveni Complex, Abids, Hyderabad","₹1,700",7:30 AM to 11 PM,2.6,"Continental, Chinese, Mughlai, North Indian","040 24754483, 040 24751264",
Swagath Grand,Medchal Road,"Plot 113, Beside Suchitra Academy, Suchitra Junction, Kompally Road, Medchal Road, Hyderabad",₹700,5 AM to 12:30 AM,3.5,"North Indian, Chinese","040 65552000, 040 27230882",Free Parking
Ohri's Eatmor Coffee Shop,Banjara Hills,"8-2-682/3, Ohri's Banjara, Road 12, Banjara Hills, Hyderabad","₹1,000",24 Hours,3.6,"Continental, Fast Food, North Indian","+91 7675083377, +91 9866778039","Buffet, Valet Parking Available"
Hotel Sitara Grand,Banjara Hills,"8-2-696/697, Hotel Sitara Grand, Road Number 12, Near SBI, Banjara Hills, Hyderabad",₹900,11 AM to 11 PM,4.0,"North Indian, Chinese, Seafood",040 33165293,"Wifi, Buffet"
Waves Restaurant,Malakpet,"Hotel Sohail, Nalgonda Cross Roads, Malakpet, Hyderabad",₹650,"10:30 AM to 4 PM, 7 PM to 11 PM",3.5,"North Indian, Chinese, Mughlai",040 24573593,
Cascade - Radisson Hyderabad Hitec City,Gachibowli,"Radisson Hyderabad Hitec City, Hitech City, Gachibowli, Hyderabad","₹1,800",9 AM to 10 PM,3.4,"North Indian, Italian, Continental, Asian",040 33165100,"Valet Parking Available, Smoking Area, Wifi, Buffet, 4/5 Star"
Air Cafe Lounge,Jubilee Hills,"Road 36, Opposite Vespa Showroom, Jubilee Hills, Hyderabad","₹2,000",2 PM to 10 PM,4.1,"Chinese, Italian",,"Live Music, Outdoor Seating, Wifi, Nightlife, Valet Parking Available, Smoking Area, Live Sports Screening"
IndiBlaze,Hitech City,"Plot 28, Suraj Trade Center, Ground Floor, Opposite Cyber Towers, Hitech City, Hyderabad",₹600,"12 Noon to 4 PM, 7 PM to 11:30 PM",4.2,Fast Food,"+91 9100921971, 040 65508585","Self Service, Free Parking, Wifi"
Teluginti Ruchulu,Kukatpally,"Plot 246, MIG 1, Near Remedy Hospital, Road 4, KPHB Colony, Kukatpally, Hyderabad",₹850,7 AM to 11 PM,3.8,Andhra,040 33165170,Wifi
Midland Bakers,Madhapur,"Ayappa Society, 100 Feet Road, Near YSR Statue, Madhapur, Hyderabad",₹450,11 AM to 11 PM,3.5,"Fast Food, Chinese, Bakery, Desserts",040 33165035,Desserts and Bakes
Chicken Shawarma Hub,Madhapur,"Below KTM Showroon, Madhapur, Hyderabad",₹250,"7:30 AM to 9:30 AM, 11:30 AM to 11 PM",3.6,"Street Food, Arabian","040 31926272, +91 9985136951",
Tre-Forni Restaurant and Bar - Park Hyatt,Banjara Hills,"Park Hyatt Hyderabad, Road 2,   - 500034, Banjara Hills, Hyderabad","₹3,000",24 Hours,3.9,Italian,040 33165193,"Outdoor Seating, Smoking Area, Live Entertainment, Valet Parking Available, Luxury Dining, Celebrity Frequented, 4/5 Star, Live Music"
Clever Fox Cafe,Hitech City,"Red Fox Hotel, 64, Hitech City, Hyderabad",₹700,1 PM to 2:30 AM,3.9,"North Indian, Continental, Chinese","+91 8008501815, 040 44484805",Buffet
Taksh,Banjara Hills,"3rd Floor, Mantri Building, Road  12, Banjara Hills, Hyderabad",₹900,24 Hours,3.8,"South Indian, North Indian, Chinese",040 33165679,"Valet Parking Available, Free Parking, Kid Friendly"
Fishland Restaurant,Ameerpet,"Beside Big Bazaar, Ameerpet Main Road, Ameerpet, Hyderabad",₹850,11 AM to 12 Midnight,4.7,"North Indian, Andhra, Chinese, Biryani, Seafood",040 33165028,"Valet Parking Available, Wifi, Buffet"
The Dining Room - Park Hyatt,Banjara Hills,"Park Hyatt Hyderabad , Road 2,   - 500034, Banjara Hills, Hyderabad","₹2,100",9 AM to 1 AM,3.9,"European, Hyderabadi, Continental",040 33165052,"Celebrity Frequented, 4/5 Star, Valet Parking Available, Buffet"
Express Meals,Banjara Hills,"Nagarjuna Cross Road, Road 1, Banjara Hills, Hyderabad",₹550,"10 AM to 10 PM (Tue-Sun), Mon Closed",4.6,"North Indian, Chinese",040 65901010,
Citrus Cafe - Lemon Tree Premier,Hitech City,"Lemon Tree Premier, Plot 2, Survey 64, Hitech City, Hyderabad","₹2,000",12 Noon to 1 AM,3.6,"European, South Indian, American, North Indian, Continental",040 33165132,"Valet Parking Available, Wifi, Buffet, 4/5 Star"
Natural Ice Cream,Jubilee Hills,"Aditya Jayrag, Road 36 & 37, Opposite Neeru’s Emporia, Jubilee Hills, Hyderabad",₹200,11 AM to 11 PM,3.9,"Ice Cream, Desserts",040 32933283,Desserts and Bakes
Cafe 4resta,Banjara Hills,"8-2-324/15&16, Opposite Gurunanak Business School, Green Valley,  Road 3, Banjara Hills, Hyderabad",₹850,"7 PM to 10:30 PM (Mon), 11:45 AM to 3:30 PM, 7 PM to 10:30 PM (Tue-Sun)",3.5,"Cafe, Chinese, North Indian","040 32914333, +91 8977135678","Valet Parking Available, Wifi, Live Sports Screening, Free Parking, Outdoor Seating, Smoking Area"
Lamakaan,Banjara Hills,"Near GVK One, Road 5, Banjara Hills, Hyderabad",₹200,24 Hours,4.1,Street Food,+91 9642731329,Outdoor Seating
Uberdeq,Jubilee Hills,"8-3-293/82/A/70, 4th Floor, Anshu Colours, Near TV5 Office, Jubilee Hills, Hyderabad","₹2,000",11 AM to 11 PM,3.6,Finger Food,040 33165061,"Valet Parking Available, Wifi, Outdoor Seating, Smoking Area, Nightlife"
Blue Diamond,Basheer Bagh,"Sesodharaka Bhavan, Near Nizam College, Basheer Bagh, Hyderabad",₹750,12 Noon to 11 PM,2.7,Chinese,"040 23230612, 040 23232667",
Maa Ooru Biryani,Kondapur,"1-63/16, Near Kothaguda Cross Roads, Kondapur, Hyderabad",₹350,"12 Noon to 4 PM, 6:30 PM to 11:30 PM (Mon-Sun)",4.0,Biryani,"+91 9581993336, +91 9515119151",Wifi
Deccan Pavilion - ITC Kakatiya,Begumpet,"ITC Kakatiya, 6-3-1187, Begumpet, Hyderabad","₹2,000",9 AM to 1 AM,4.1,"North Indian, South Indian, Continental, Chinese",040 33194211,"Valet Parking Available, Buffet, 4/5 Star"
Mandar,Tolichowki,"9-4-77/F/10, Yousuf Tekri Complex, Opposite RTA Office, Tolichowki, Hyderabad",₹750,6:30 AM to 4:30 PM,4.4,"North Indian, Mughlai, Chinese, Biryani","+91 9985544652, 040 23562274",
Hitech Bawarchi,Gachibowli,"Street Next to HP Petrol Pump, Opposite Indra Nagar, APHB Colony, Gachibowli, Hyderabad",₹500,24 Hours,3.5,"Biryani, North Indian, Chinese",040 33165261,
"3B's - Buddies, Bar & Barbecue",Gachibowli,"2nd Floor, Apurupa Silpi, Indiranagar, Gachibowli, Hyderabad","₹1,100","12 Noon to 4 PM, 7 PM to 11 PM",3.6,"North Indian, Mediterranean, European",+91 9533882201,Valet Parking Available
Indulge IceCream,Banjara Hills,"8-2-350/3/1, Road Number 3, Banjara Hills, Hyderabad",₹250,9:30 AM to 12 Midnight,3.9,Ice Cream,040 33165737,Desserts and Bakes
Lakshman Ki Bandi,Begum Bazaar,"Near Mangalhat Road, Gyan Bagh Colony, Begum Bazaar, Hyderabad",₹100,12:30 PM to 10:30 PM,4.0,"Street Food, South Indian",040 33165735,
Verandah - The Park,Somajiguda,"The Park Hotel, 22, Raj Bhavan Road, Somajiguda, Hyderabad","₹2,500",8 AM to 12 Midnight,3.7,"North Indian, Italian, Continental, Chinese",040 33165765,"Valet Parking Available, Buffet, 4/5 Star, Luxury Dining"
Samskruthi,Kondapur,"Opposite Jayabheri Enclave, Anjaya Nagar, Gachibowli Road, Kondapur, Hyderabad",₹500,7:30 AM to 10:30 PM,3.5,"Andhra, North Indian, Chinese",+91 9246528519,Buffet
Dimmy's Pan Palace,Jubilee Hills,"Near Pedamma Temple, Road 36, Jubilee Hills, Hyderabad",₹500,"11:30 AM to 3 PM, 6:30 PM to 11 PM",3.4,"North Indian, Street Food, Juices","040 65169996, +91 9848069996",
Roll On,Kukatpally,"Near Anupama Hospital, JNTU Road, Phase 6, KBHB, Kukatpally, Hyderabad",₹250,"12 Noon to 3:30 PM, 7:30 PM to 11 PM",3.6,Fast Food,+91 8686846066,Zomato Fulfilled Delivery
Firdaus,Banjara Hills,"Plot 100, Opposite Q Mart, Beside TV9, Road 3, Banjara Hills, Hyderabad",₹400,7 AM to 11 PM,3.6,Biryani,"040 23541313, +91 7893092786",
Hotel Suprabhat,Habsiguda,"Opposite Habsiguda Signal, Habsiguda Cross Road, Habsiguda, Hyderabad",₹200,11 AM to 11 PM,2.5,South Indian,040 23702939,"Buffet, Valet Parking Available"
Thali,Gachibowli,"Plot 1-73/8, Above Mediplus, 1st Floor, Near HP Petrol Pump, Gachibowli, Hyderabad",₹350,12 Noon to 11 PM,3.5,"South Indian, North Indian","040 23002990, +91 9493812990",
7 Biryanis by Kuchipudi,S P Road,"Opposite Begumpet Traffic Police Station, Rasoolpura Junction, S P Road, Secunderabad",₹500,12 Noon to 11:45 PM,3.4,"Andhra, South Indian","040 65451451, 040 65452452",Wifi
Blanc Glace,Hitech City,"Inside Mind Space, behind Westin in Deccan Serai Hotel, Hitech City, Hyderabad.",₹750,11 AM to 12 Midnight,3.8,"Cafe, Bakery, Desserts, Pizza, Tea",040 33194284,"Free Parking, Smoking Area, Outdoor Seating, Wifi, Desserts and Bakes, Nightlife"
Swagath Grand,Habsiguda,"Opposite CCMB, Hotel Swagath Grand, Habsiguda Cross Road, Habsiguda, Hyderabad",₹650,5 AM to 11 PM,3.7,"North Indian, Chinese, Biryani",040 33165118,Valet Parking Available
Bouchon - Bombay Duck,Jubilee Hills,"Ground Floor, Bombay Duck, Road 10, Jubilee Hills, Hyderabad","₹1,500","12:30 PM to 3:30 PM, 8 PM to 11 PM",3.9,"Continental, Italian",,"Valet Parking Available, Zomato Fulfilled Delivery, Outdoor Seating, Wifi, Buffet"
Shabad Cafe,Kukatpally,"MIG 17/1, Opposite Anupama Hospital, Malaysian Township Road, KPHB, Kukatpally, Hyderabad",₹850,6 AM to 11:30 PM,4.9,"North Indian, Chinese","+91 8886688561, +91 8886688562",
Chefs Garden,Hitech City,"Novotel Road, Opp: Meenakshi Sky Lounge, Hitech City, Hyderabad","₹1,200","12 Noon to 3:30 PM, 7 PM to 10:45 PM",2.6,"North Indian, Chinese, Continental",040 33165801,"Free Parking, Outdoor Seating, Kid Friendly, Vegetarian Friendly, Buffet, Valet Parking Available, Disabled Friendly, Smoking Area, Wifi, Live Sports Screening"
Syala,Jubilee Hills,"Opposite Mirrors, 8-2-293/82A, Road 13, Jubilee Hills, Hyderabad",₹800,"9 AM to 3:30 PM, 6 PM to 10:30 PM",3.4,"North Indian, Chinese, Italian",+91 8885888666,"Outdoor Seating, Smoking Area, Live Music, Valet Parking Available, Wifi"
Hotel Prince,Mehdipatnam,"Opposite LIC office, Gudi Malkapur Road, Off PVNR Flyover, Mehdipatnam, Hyderabad",₹300,10 AM to 3 AM,3.6,"Biryani, Hyderabadi",040 23510437,
Once Upon A Time - Hotel GreenPark,Begumpet,"Hotel Green Park, Begumpet, Hyderabad","₹1,200","7 PM to 11 PM (Mon-Thu), 7 PM to 11:30 PM (Fri-Sun)",4.1,"Chinese, Continental, Asian, North Indian, South Indian, Sri Lankan",040 66515151,"Buffet, 4/5 Star"
Subhan Bakery,Nampally,"11-6-467, Nampally Market, Nampally, Hyderabad",₹150,"12 Noon to 2 AM (Mon, Wed-Sun), Tue Closed",3.8,"Bakery, Fast Food","040 23317571, 040 23318567",Desserts and Bakes
Upper Deck - Swagath De Royal,Kondapur,"2-36, Swagath De Royal, Kothaguda Cross Roads, Kondapur, Hyderabad","₹1,000",11 AM to 1:30 AM,3.4,"North Indian, Chinese, Asian",040 33165262,"Valet Parking Available, Buffet, Smoking Area"
Tumpa Bengali Food,Madhapur,"Same Place Food Court, Beside Country Oven and Fortune Towers, Opposite Hyderabad House, Madhapur, Hyderabad",₹400,5 AM to 11 PM,3.9,"Bengali, North Indian","+91 9010540019, +91 9030851572",
Coffee Times - Hotel Daspalla,Jubilee Hills,"Hotel Daspalla, Road 37, Jubilee Hills, Hyderabad","₹1,150",11:30 AM to 11:30 PM,3.4,"North Indian, South Indian, Continental",040 33165239,"4/5 Star, Valet Parking Available, Wifi, Buffet"
Kangan - The Westin,Hitech City,"The Westin, Mindspace IT Park, Hitech City, Hyderabad","₹2,000","12:30 PM to 3 PM, 8 PM to 10:45 PM",3.9,North Indian,040 33165305,Wifi
Barbeque House - Smoke House & Grill,Hitech City,"1st Floor, SDR Pearl, Opposite Raheja Mind Space, Sector 3, Hitech City, Hyderabad","₹1,500",8 AM to 11 PM,3.9,"North Indian, Continental",,"Smoking Area, Live Sports Screening, Valet Parking Available, Wifi, Buffet"
Mama Mia Italia,Madhapur,"The Street, Next to Meridian School, 100 Feet Road, Madhapur, Hyderabad",₹800,6:30 AM to 11 PM,3.5,"Italian, Pizza",040 33165046,
Yogurtbay & Wafflebay,Banjara Hills,"Door 8-2-120/86/9, Road 14, Nandi Nagar, Beside Fur & Feathers Pet Shop, Banjara Hills, Hyderabad",₹250,12 Noon to 12 Midnight,3.7,Desserts,"040 23551345, 18001208845",Desserts and Bakes
Cafe 555,Masab Tank,"Maheshwari Complex, Masab Tank, Hyderabad",₹200,12 Noon to 2 AM,2.2,"Street Food, Chinese",040 64555535,Outdoor Seating
The Clay Pot,Banjara Hills,"Opposite KBR Park, Road 2, Banjara Hills, Hyderabad",₹750,8 AM to 1 AM,3.4,"North Indian, Chinese, Mughlai, Andhra","040 64566123, +91 8008800696",
Swaad Restaurant,Madhapur,"Behind Vodafone Mobile Store, Arunodaya Colony madhapur, Madhapur, Hyderabad",₹250,11 AM to 11 PM,2.6,North Indian,040 33194176,
Starbucks,Hitech City,"Upper Ground Floor, Phoenix Tower A, Opposite Trident Hotel, Hitech City, Hyderabad",₹650,"10 AM to 10 PM (Mon-Fri), 8 AM to 10 PM (Sat-Sun)",2.3,Cafe,+91 9581000648,Outdoor Seating
